model,prompt_template,temperature,condition,js_divergence,tv_distance
gemma3_12b,chain_of_thought,0.7,high,0.04033511268468485,0.23305785123966943
gemma3_12b,chain_of_thought,0.7,info,0.05655374895223504,0.22280991735537192
gemma3_12b,chain_of_thought,0.7,low,0.14990893953868545,0.316198347107438
gemma3_12b,direct_label,0.7,high,0.10629134420954278,0.37305785123966945
gemma3_12b,direct_label,0.7,info,0.08956783311890461,0.2834710743801653
gemma3_12b,direct_label,0.7,low,0.16967292463846684,0.30000000000000004
gemma3_12b,log_probs,0.7,high,0.10081921319808937,0.36305785123966944
gemma3_12b,log_probs,0.7,info,0.08956783311890461,0.2834710743801653
gemma3_12b,log_probs,0.7,low,0.16967292463846684,0.30000000000000004
gemma3_12b,meta_label,0.7,high,0.08599986495372411,0.33305785123966947
gemma3_12b,meta_label,0.7,info,0.11290854817332871,0.3634710743801653
gemma3_12b,meta_label,0.7,low,0.17825726932707806,0.326198347107438
gemma3_12b,self_reported_confidence,0.7,high,0.14623492979023578,0.42305785123966944
gemma3_12b,self_reported_confidence,0.7,info,0.08956783311890461,0.2834710743801653
gemma3_12b,self_reported_confidence,0.7,low,0.16967292463846684,0.30000000000000004
llama3_1_8b,chain_of_thought,0.7,high,0.3065367508145357,0.593305785123967
llama3_1_8b,chain_of_thought,0.7,info,0.09884878685173423,0.2771900826446281
llama3_1_8b,chain_of_thought,0.7,low,0.004598516179364718,0.073801652892562
llama3_1_8b,direct_label,0.7,high,0.423630772439475,0.7133057851239669
llama3_1_8b,direct_label,0.7,info,0.16275877830520363,0.4471900826446281
llama3_1_8b,direct_label,0.7,low,0.19448563326765428,0.49000000000000005
llama3_1_8b,log_probs,0.7,high,0.4740500572178902,0.7333057851239669
llama3_1_8b,log_probs,0.7,info,0.16275877830520363,0.4471900826446281
llama3_1_8b,log_probs,0.7,low,0.14142242653860676,0.42
llama3_1_8b,meta_label,0.7,high,0.3235815492495423,0.6420154625433218
llama3_1_8b,meta_label,0.7,info,0.09866391872520303,0.3499560400914366
llama3_1_8b,meta_label,0.7,low,0.10492210445609272,0.35901904419690983
llama3_1_8b,self_reported_confidence,0.7,high,0.3394037299919577,0.653305785123967
llama3_1_8b,self_reported_confidence,0.7,info,0.12162576549153924,0.38719008264462806
llama3_1_8b,self_reported_confidence,0.7,low,0.0789075172456344,0.313801652892562
mistral_7b,chain_of_thought,0.7,high,0.2362488739752937,0.543305785123967
mistral_7b,chain_of_thought,0.7,info,0.10865372856212466,0.36719008264462805
mistral_7b,chain_of_thought,0.7,low,0.08837046546625299,0.293801652892562
mistral_7b,direct_label,0.7,high,0.3454055505599178,0.6597520661157025
mistral_7b,direct_label,0.7,info,0.08699773869779322,0.31347107438016525
mistral_7b,direct_label,0.7,low,0.12046299158591339,0.355188246097337
mistral_7b,log_probs,0.7,high,0.32935227183520044,0.6146983026748423
mistral_7b,log_probs,0.7,info,0.10547244096473465,0.34662896911700736
mistral_7b,log_probs,0.7,low,0.14214138709762816,0.37539026629935723
mistral_7b,meta_label,0.7,high,0.43673129576146985,0.6820936639118458
mistral_7b,meta_label,0.7,info,0.20527961839793973,0.4371900826446281
mistral_7b,meta_label,0.7,low,0.04752434932866807,0.1359963269054178
mistral_7b,self_reported_confidence,0.7,high,0.18627769718060333,0.41330578512396693
mistral_7b,self_reported_confidence,0.7,info,0.14733660193961062,0.4371900826446281
mistral_7b,self_reported_confidence,0.7,low,0.0020969756495869997,0.05
qwen2_5_7b,chain_of_thought,0.7,high,0.3241723994205956,0.5830578512396694
qwen2_5_7b,chain_of_thought,0.7,info,0.10393691441323973,0.32719008264462807
qwen2_5_7b,chain_of_thought,0.7,low,0.04952639621162733,0.136198347107438
qwen2_5_7b,direct_label,0.7,high,0.3664841110329996,0.6130578512396694
qwen2_5_7b,direct_label,0.7,info,0.18878510155322936,0.45719008264462807
qwen2_5_7b,direct_label,0.7,low,0.08426561440872865,0.15619834710743802
qwen2_5_7b,log_probs,0.7,high,0.4266438228961352,0.6330578512396694
qwen2_5_7b,log_probs,0.7,info,0.24429541035240818,0.4671900826446281
qwen2_5_7b,log_probs,0.7,low,0.0633025547373678,0.14619834710743798
qwen2_5_7b,meta_label,0.7,high,0.0588836285347443,0.2830578512396694
qwen2_5_7b,meta_label,0.7,info,0.005278231315571435,0.07066115702479339
qwen2_5_7b,meta_label,0.7,low,0.048508958651431386,0.23619834710743803
qwen2_5_7b,self_reported_confidence,0.7,high,0.43917934624996724,0.6330578512396695
qwen2_5_7b,self_reported_confidence,0.7,info,0.2494193906568255,0.4771900826446281
qwen2_5_7b,self_reported_confidence,0.7,low,0.09847825207869171,0.29
