framing,sentence,n,proportion
high,most | most | right,218,0.18016528925619835
high,some | all | right,173,0.14297520661157026
high,most | all | right,160,0.1322314049586777
high,some | most | right,127,0.10495867768595041
high,all | most | right,99,0.08181818181818182
high,some | some | right,92,0.07603305785123966
high,all | some | right,84,0.06942148760330578
high,most | some | right,70,0.05785123966942149
high,all | all | right,60,0.049586776859504134
high,some | some | wrong,24,0.019834710743801654
high,none | all | right,20,0.01652892561983471
high,none | all | wrong,15,0.012396694214876033
high,all | all | wrong,8,0.006611570247933884
high,all | some | wrong,8,0.006611570247933884
high,some | all | wrong,8,0.006611570247933884
high,most | all | wrong,6,0.0049586776859504135
high,most | some | wrong,6,0.0049586776859504135
high,none | none | right,6,0.0049586776859504135
high,some | most | wrong,6,0.0049586776859504135
high,most | most | wrong,5,0.004132231404958678
high,all | most | wrong,3,0.0024793388429752068
high,all | none | right,3,0.0024793388429752068
high,most | none | right,2,0.001652892561983471
high,none | most | right,2,0.001652892561983471
high,none | none | wrong,2,0.001652892561983471
high,most | none | wrong,1,8.264462809917355e-4
high,none | most | wrong,1,8.264462809917355e-4
high,some | none | wrong,1,8.264462809917355e-4
low,most | most | wrong,179,0.14793388429752066
low,some | all | wrong,151,0.12479338842975207
low,most | all | wrong,131,0.10826446280991736
low,some | most | wrong,126,0.10413223140495868
low,some | some | wrong,109,0.09008264462809917
low,all | most | wrong,82,0.06776859504132231
low,all | some | wrong,82,0.06776859504132231
low,most | some | wrong,58,0.047933884297520664
low,all | all | wrong,51,0.04214876033057851
low,none | all | right,49,0.04049586776859504
low,some | some | right,25,0.02066115702479339
low,most | most | right,20,0.01652892561983471
low,some | all | right,20,0.01652892561983471
low,some | none | right,19,0.015702479338842976
low,most | all | right,13,0.010743801652892562
low,none | all | wrong,13,0.010743801652892562
low,all | none | right,11,0.00909090909090909
low,some | most | right,10,0.008264462809917356
low,all | most | right,9,0.00743801652892562
low,most | none | right,9,0.00743801652892562
low,all | some | right,8,0.006611570247933884
low,most | some | right,8,0.006611570247933884
low,all | all | right,5,0.004132231404958678
low,none | some | right,5,0.004132231404958678
low,all | none | wrong,4,0.003305785123966942
low,none | none | wrong,3,0.0024793388429752068
low,none | some | wrong,3,0.0024793388429752068
low,none | most | right,2,0.001652892561983471
low,none | none | right,2,0.001652892561983471
low,most | none | wrong,1,8.264462809917355e-4
low,none | most | wrong,1,8.264462809917355e-4
low,some | none | wrong,1,8.264462809917355e-4
